ring;chip_code;status;cert;brood_size;run_day_eclosion;weight;tarsus;observer;cohort
442677;C_7C123DB;R;1;5;22;70.22;30.14;LP;2019
442692;C_7C12143;R;1;6;23;78.06;29.41;LP;2019
442700;C_7C2A109;R;1;2;24;83.71;28.91;LP;2019
389577;C_6E6AAB1;R;1;2;19;79.15;30.86;DG;2012
389523;C_6E6A3F2;R;1;5;18;79;30.8;DG;2012
389496;C_6E6C2D4;F;0;5;18;73.8;30.5;DG;2012
389527;C_6E6CC5B;R;1;5;18;82.9;29.7;DG;2012
389569;C_6E6B912;R;1;4;19;75.2;29.7;DG;2012
389468;C_6E6B88E;R;1;5;18;78.7;29.7;DG;2012
389485;C_6E6AAC6;R;1;4;17;77.5;29.6;DG;2012
389481;C_6E6C46A;F;1;4;17;68.5;29.2;DG;2012
402236;C_6E6AF0C;R;1;5;17;74;30.2;DG;2013
402442;C_6E6D319;F;0;6;33;84;30.5;DG;2013
402527;C_6E6C0A9;R;1;5;34;86;29.6;DG;2013
402478;C_6E69E4B;F;0;5;32;80.3;30.4;DG;2013
402614;C_6E6C2B2;R;1;4;59;73;30;DG;2013
402473;C_6E69BDE;R;1;2;32;80.9;31;DG;2013
402653;C_6E6A943;F;0;2;66;67;29.3;DG;2013
395022;C_6E6CEA6;F;0;3;69;81;31.1;DG;2014
395528;C_6E6C0AD;F;0;3;65;72.5;30.1;DG;2014
402861;C_6E6C989;F;0;5;21;79.1;29.9;DG;2014
402804;C_6E69F71;F;1;5;21;75.3;30.7;DG;2014
242081;C_6E69C71;F;1;5;20;80.7;29.5;DG;2014
395557;C_6E6A83C;R;1;4;66;78;30.5;DG;2014
242090;C_6E6C97B;F;1;5;20;74;28.8;DG;2014
395522;C_6E6AA4B;R;1;4;65;76;30.7;DG;2014
402820;C_6E6BAA3;R;1;4;21;72.4;28.4;DG;2014
153934;C_6E6C903;F;1;4;20;80.7;29.8;DG;2014
153936;C_6E6A7B8;F;1;4;20;83.6;30.2;DG;2014
153965;C_6E6AD73;F;0;4;20;77.2;30.3;DG;2014
395581;C_6E69DF5;F;1;4;67;73.5;30.1;DG;2014
410327;C_79478BA;R;1;3;17;86.3;30.9;DG;2015
410356;C_7A6EDE1;F;0;5;17;79.5;29.7;DG;2015
410432;C_794A8EF;R;0;4;18;75.7;30;DG;2015
410474;C_6E6D424;F;1;5;18;75.9;29;DG;2015
410493;C_7945A63;F;0;5;19;79.8;31.1;DG;2015
410573;C_79478BD;F;0;4;20;72;28.6;DG;2015
410811;C_7944A46;F;0;2;37;74.6;29.2;DG;2015
410815;C_6E6AA2B;F;0;4;37;65.7;27.8;DG;2015
423974;C_7A7043F;F;0;3;72;54;29.5;DG;2016
424010;C_7A74879;F;1;3;73;67;29.2;DG;2016
424440;C_7A72E13;F;0;5;23;82;30.7;DG;2016
424623;C_7A72165;F;0;4;24;83;29.4;DG;2016
424644;C_7A6E9C7;F;0;2;25;71;29.5;DG;2016
424646;C_7A74ABA;F;1;5;25;74;30.2;DG;2016
424744;C_7A710E2;F;1;4;51;65.4;30;DG;2016
424749;C_7A72B50;R;1;3;51;76.2;30;DG;2016
433122;C_7826600;R;1;4;22;77.5;30.1;DG;2017
433124;C_7828E38;F;0;4;22;85;29.6;DG;2017
425226;C_795623D;R;1;5;21;78.5;28.9;DG;2017
425251;C_7955FD1;R;1;5;21;79.4;30.9;DG;2017
425225;C_7955ED6;F;1;5;21;82.6;29.6;DG;2017
433570;C_7AF6946;F;0;3;65;75.2;30.8;DG;2017
433759;C_7AF69C6;F;0;3;68;52.1;27.7;DG;2017
433119;C_7AF69E4;R;1;4;22;83;30.6;DG;2017
433760;C_7AF6CAD;F;0;3;68;60.5;29;DG;2017
433182;C_7AF6D03;R;1;5;23;81.7;30.5;DG;2017
442103;C_79521F0;F;0;3;20;87.2;29.3;DG;2018
441276;C_79522CF;F;0;2;18;83.4;30;DG;2018
441263;C_7AF7319;F;0;4;18;73;30.9;DG;2018
441365;C_7AF7505;F;0;4;19;70.5;29.3;DG;2018
441245;C_7BA26CD;F;1;2;18;81;30;DG;2018
441275;C_7BA2B87;R;1;2;18;84.5;29.5;DG;2018
441388;C_7BA2BB8;R;1;4;20;77.8;30.1;DG;2018
449207;C_7C29EFD;R;1;5;19;76.8;29.02;DG;2019
449212;C_7C29FF4;R;1;5;18;86.6;30.04;DG;2019
449233;C_7C2A363;F;0;5;20;69.3;29.6;DG;2019
449250;C_7C29EFE;F;0;4;20;75.7;30.3;DG;2019
449283;C_7C29FD6;F;1;2;21;72.8;29.3;DG;2019
449287;C_7C2A0AC;F;1;4;21;78.5;30;DG;2019
410256;C_794ADF0;F;0;3;20;76.1;30.2;HB;2015
410633;C_6E6BD64;R;1;4;18;71;28.3;HB;2015
410643;C_7944AA5;R;1;3;18;88;29.8;HB;2015
410656;C_79484D3;F;0;4;18;75.3;29.8;HB;2015
410689;C_7947D02;R;1;4;19;79;30.4;HB;2015
410728;C_79460C8;F;0;3;19;82.8;30;HB;2015
410741;C_7949BBA;F;0;2;20;74.5;29.1;HB;2015
410787;C_7946B1B;R;1;4;30;67;29.8;HB;2015
410872;C_7945D8B;F;1;5;43;79.5;28.8;HB;2015
411119;C_7945632;F;1;3;62;78.3;30.4;HB;2015
411202;C_7946B1F;F;1;4;63;79;30.3;HB;2015
411217;C_7944F9B;F;0;5;63;70.6;29.5;HB;2015
424001;C_7A73E6B;F;1;4;72;58.6;28.3;HB;2016
424784;C_7A70648;F;1;4;64;74.5;28.7;HB;2016
425083;C_7884A9D;R;1;5;19;78.1;31.3;HB;2017
425088;C_7956696;F;1;5;19;81.4;30;HB;2017
425084;C_79566B5;R;1;4;19;81.15;30;HB;2017
433289;C_7AF692D;R;1;5;23;79.65;30.5;HB;2017
433259;C_7AF6997;R;1;4;22;78;29;HB;2017
433400;C_7AF69F8;F;0;4;34;80.95;30.1;HB;2017
433099;C_7AF6A0C;R;1;3;31;43.65;26.8;HB;2017
433306;C_7AF6A9E;F;1;5;21;78;30.4;HB;2017
433204;C_7AF6BFD;F;1;5;22;79.1;30.3;HB;2017
433553;C_7AF6C91;R;1;4;63;57.15;29.2;HB;2017
433238;C_7AF6D1C;R;1;5;22;78.8;29;HB;2017
433455;C_7AF6D47;F;0;5;37;64.65;27;HB;2017
433227;C_7AF6D5E;F;0;4;22;88.7;31;HB;2017
433265;C_7AF6F18;F;0;4;22;82;30.2;HB;2017
433384;C_7AF6FC9;R;1;5;33;75.8;29.7;HB;2017
433082;C_7AF6FF1;F;1;5;31;72.05;29.7;HB;2017
433072;C_7AF7038;F;1;3;29;74;29.1;HB;2017
433666;C_7AF7097;F;0;3;67;70;29.1;HB;2017
433318;C_7AF70A3;F;1;4;23;90.8;29.7;HB;2017
433392;C_7AF70DE;F;0;3;33;81.05;29.3;HB;2017
449747;C_7C12097;F;0;6;33;72.96;29;IR;2019
449759;C_7C12155;F;1;4;34;83.36;29.48;IR;2019
449789;C_7C2A268;R;1;4;51;73.5;29.91;IR;2019
450399;C_7C12239;F;1;4;63;54.98;30.74;IR;2019
SEO224;C_7C1254E;F;1;2;66;50.76;27.65;IR;2019
389006;C_6E6BD6E;F;0;3;16;77.1;31.38;JM;2012
389053;C_6E69BDC;R;1;4;18;83.85;29.93;JM;2012
389801;C_6E6A0B4;F;1;3;39;81.05;29.62;JM;2012
401712;C_6E6AACD;R;1;4;18;73.95;29.35;JM;2013
401753;C_7141622;R;1;3;33;74.2;29.78;JM;2013
402543;C_6E6BE86;R;1;3;41;75;29.14;JM;2013
401805;C_6E6AE85;R;1;5;46;78.2;30.02;JM;2013
402558;C_6E6CEAA;F;0;6;42;80;30.92;JM;2013
401682;C_6E6BA1C;F;0;4;18;80.3;29.67;JM;2013
401683;C_6E6B90D;R;1;4;18;77.8;30.23;JM;2013
401811;C_6E6BD63;R;1;3;55;71.95;30.46;JM;2013
401666;C_6E6D1F3;R;1;4;19;64.85;29.66;JM;2013
400034;C_6E69B8D;F;0;4;18;76.15;30.66;JM;2013
9120;C_6E6B77E;R;1;4;20;76.25;30.28;JM;2014
111894;C_6E69AC8;F;1;5;20;79.1;30;JM;2014
156319;C_6E6D5AF;R;1;5;21;82;31.05;JM;2014
156327;C_6E6A8C5;F;1;3;21;78.7;30.98;JM;2014
156328;C_6E6C576;F;1;3;21;74.2;30.07;JM;2014
156350;C_6E6C35A;R;1;5;21;76.9;30.07;JM;2014
375804;C_6E6D5A9;F;1;6;19;75.65;25.85;JM;2014
395407;C_6E6D2BF;F;0;5;22;81.25;29.65;JM;2014
395458;C_6E6B020;R;1;5;23;81.15;31.05;JM;2014
395654;C_6E69B0A;R;1;2;32;78.5;29.5;JM;2014
9131;C_6E6BB12;R;1;5;20;60.7;30.78;JM;2014
256871;C_6E6C35E;R;1;4;55;78;31.01;JM;2014
395390;C_6E6A18A;F;1;4;66;61.5;30.91;JM;2014
395697;C_6E6ADFB;F;1;4;35;86.3;31.11;JM;2014
375829;C_6E6D061;R;1;5;19;78.75;30.55;JM;2014
256896;C_6E6BB38;F;1;3;63;70.5;30.8;JM;2014
375830;C_6E6B5DA;R;1;4;19;82.1;30.82;JM;2014
333461;C_6E6BB39;F;0;4;47;80.5;30.12;JM;2014
397438;C_6E6C333;R;1;5;40;78.75;31.61;JM;2014
395616;C_6E6B017;R;1;4;30;80.95;29.34;JM;2014
317618;C_6E6A33B;R;1;5;20;74.6;29.82;JM;2014
395484;C_6E6A180;R;1;3;24;83.75;31.73;JM;2014
395633;C_6E6D125;R;1;6;31;74.2;30.04;JM;2014
256872;C_6E6CBE7;R;1;4;57;77.55;29.91;JM;2014
397413;C_6E6C2CE;R;1;4;37;84.35;31.66;JM;2014
442226;C_7AF7254;R;1;3;20;79.2;30.05;JM;2018
441466;C_7BA281F;R;1;4;19;74.6;30.7;JM;2018
442248;C_7AF7532;R;1;4;20;52.3;28.19;JM;2018
441474;C_7AF7551;R;1;6;19;67;28.73;JM;2018
442297;C_7BA2611;F;0;4;33;79.9;31.44;JM;2018
442243;C_7BA26C3;R;1;4;20;82.2;29.36;JM;2018
442201;C_7BA26D3;R;1;4;20;80.5;30.36;JM;2018
441452;C_7BA29F3;R;1;5;19;78.8;29.6;JM;2018
441553;C_7BA2CE7;R;1;4;19;78;30.31;JM;2018
424343;C_7A74519;F;0;4;22;80.6;29;IR;2016
424360;C_7A6ED52;F;1;5;22;77.4;29.7;IR;2016
424410;C_7A74BA1;F;1;4;23;81.1;28.4;IR;2016
424542;C_7A6EC1F;R;1;4;24;91.7;30.2;IR;2016
424713;C_7A6FD1A;F;0;3;27;78;28.6;IR;2016
402321;C_6E6A73B;F;0;5;18;75;30.3;LP;2013
401990;C_6E6CE3C;F;1;3;62;58.7;29.3;LP;2013
402152;C_6E6A03D;R;1;3;19;77;30;LP;2013
402301;C_6E6D2B8;R;1;2;17;80;30.6;LP;2013
402071;C_6E6BF12;R;1;3;18;83;30.6;LP;2013
402063;C_6E6AC64;R;1;6;17;73;30;LP;2013
402111;C_6E6B44B;R;1;3;18;69;28.5;LP;2013
441838;C_79523E0;F;0;3;19;68.8;30.02;LP;2018
441915;C_7952481;R;1;4;19;81.9;31.2;LP;2018
441924;C_7AF7239;F;0;5;19;81.1;29.97;LP;2018
441816;C_7AF7564;F;0;4;19;85.4;29.6;LP;2018
441868;C_7BA2612;R;1;3;18;73;29.1;LP;2018
441832;C_7BA27DE;F;0;3;19;78.1;31.08;LP;2018
441833;C_7BA2843;R;1;5;19;80.1;30.37;LP;2018
441904;C_7BA2934;R;1;3;19;84.2;30.29;LP;2018
441813;C_7BA29F5;F;0;3;18;79.6;30.13;LP;2018
435189;C_7C29E75;F;1;4;19;74.76;30.38;LP;2019
442443;C_7C12030;F;1;5;20;70.08;28.81;LP;2019
442472;C_7AF74C1;F;0;6;20;68.71;28.53;LP;2019
442488;C_7AF7499;R;1;5;20;75.95;30.04;LP;2019
442632;C_7BA2AFA;F;1;5;21;80.58;30.09;LP;2019
442652;C_7C1227E;R;1;5;21;71.97;29.71;LP;2019
442653;C_7C126F9;F;0;5;21;63.13;29.11;LP;2019
389361;C_6E6BE7C;F;0;2;19;87.45;31.05;JM;2012
389294;C_6E6ACE3;R;1;3;18;86.1;30.92;JM;2012
389362;C_6E6B1A1;R;1;3;20;77.88;30.71;JM;2012
389358;C_6E69CAD;R;1;4;19;81.43;30.7;JM;2012
389338;C_6E6D5EF;R;1;5;19;67.93;29.27;JM;2012
389201;C_6E69D47;R;1;3;17;65.21;29.16;JM;2012
389241;C_6E6C1BF;R;1;4;17;75.44;28.9;JM;2012
389178;C_7141B17;F;0;4;28;78.25;30.47;IR;2012
389129;C_6E6CFE7;R;1;4;25;84.23;30.01;IR;2012
389623;C_6E6BAA2;F;1;3;29;75.05;29.86;IR;2012
389790;C_6E69B4C;F;1;5;32;64.95;29.66;IR;2012
389101;C_6E6B2B9;F;0;3;23;84.2;29.62;IR;2012
389648;C_6E69F0F;R;1;3;44;77.4;29.46;IR;2012
389749;C_6E6BA1B;F;0;3;31;66.8;28.63;IR;2012
389145;C_6E6C988;F;0;5;26;67.47;28.55;IR;2012
401905;C_7144371;R;1;5;50;78;30;RM;2013
401936;C_6E6D4CA;F;1;3;54;75;30.4;RM;2013
401937;C_6E6A3A5;R;1;3;54;77;28.8;RM;2013
401938;C_6E6CF17;F;0;3;54;79;30.8;RM;2013
402529;C_6E6C24B;F;0;5;35;67;28.2;RM;2013
401922;C_6E69FD4;R;1;4;52;62;29.4;RM;2013
155113;C_6E6BFF9;R;1;4;21;79.6;31;RM;2014
155118;C_6E6D376;R;1;2;21;79.9;29;RM;2014
155122;C_6E6A2CB;R;1;4;21;76.1;30.5;RM;2014
155124;C_6E6B099;F;0;6;21;73.6;29.8;RM;2014
155158;C_6E6D057;F;0;4;21;72.9;28.8;RM;2014
155161;C_6E6C461;R;1;5;21;81.9;29.4;RM;2014
395338;C_6E6CA77;F;1;3;64;75.05;29.06;RM;2014
395677;C_6E69D3F;F;0;4;34;76.7;27.8;RM;2014
395164;C_6E6A0B1;R;1;4;66;77.65;29.87;RM;2014
395266;C_6E6A895;R;1;4;67;65.75;28.66;RM;2014
397436;C_6E6C782;F;1;5;39;65.3;29.4;RM;2014
410129;C_7949197;F;0;4;18;74;29.8;RM;2015
410139;C_794A036;R;1;3;18;73;30.7;RM;2015
410141;C_79489C7;F;1;5;18;75;30.2;RM;2015
410240;C_794AB0D;F;0;4;19;83;30.8;RM;2015
410506;C_794637F;R;1;4;23;76;29.5;RM;2015
410806;C_794487C;F;1;5;36;80;30.3;RM;2015
411039;C_7948362;F;0;4;61;78;29.6;RM;2015
411155;C_794745F;F;0;3;63;76;30.1;RM;2015
411487;C_79452CE;R;1;2;72;80;29.9;RM;2015
411651;C_7A73FCC;F;0;4;19;82;30.6;RM;2016
411722;C_7A6F9DF;F;0;3;23;91.7;31.6;RM;2016
411731;C_7A6F142;F;1;4;23;85.9;28.6;RM;2016
411861;C_7A73B2E;F;0;4;23;78.9;30.3;RM;2016
411966;C_7A707D9;F;1;5;25;76.2;30.3;RM;2016
411983;C_7A6F968;F;0;4;25;84.7;30.3;RM;2016
423697;C_7A6F937;F;1;3;77;80.6;29.9;RM;2016
423737;C_7A74A9D;F;0;4;69;66.8;30.2;RM;2016
425074;C_795650E;F;0;2;19;79.7;29.6;RM;2017
433014;C_7AF6994;R;1;4;22;80.8;30.5;RM;2017
433011;C_7AF6AC3;R;1;4;22;85.6;30.3;RM;2017
425104;C_7AF6C3A;F;0;4;20;83.6;30.9;RM;2017
425292;C_7BA2A50;R;1;4;21;84.6;31;RM;2017
433164;C_7AF6DB8;R;1;6;21;79.3;29.8;RM;2017
433064;C_7AF6E49;F;1;3;25;74.2;30.05;RM;2017
441761;C_7BA2635;R;1;4;63;70.5;30.3;RM;2018
441728;C_7AF7516;F;1;2;61;74.7;29.4;RM;2018
435245;C_7AF730A;R;1;4;18;82.8;29.9;RM;2019
435256;C_7952367;F;1;4;17;78;30;RM;2019
449916;C_7952436;F;1;3;19;78.4;30.2;RM;2019
449930;C_7C29E69;R;1;4;19;78.1;30.6;RM;2019
449942;C_7BA2650;F;0;4;20;77.1;29.8;RM;2019
449944;C_7BA2845;R;1;5;20;74.9;29.4;RM;2019
449946;C_7BA293D;F;1;5;20;76.3;30.2;RM;2019
449974;C_7BA28F1;R;1;5;20;75.1;29.6;RM;2019
442131;C_7952276;F;0;4;34;81;29.74;SD;2018
441686;C_79524AE;F;0;3;61;76.8;30.56;SD;2018
441403;C_7AF7124;R;1;3;18;70.2;28.25;SD;2018
442569;C_7AF715F;F;1;2;75;79.4;30.05;SD;2018
441687;C_7AF7323;R;1;3;61;75.2;30.1;SD;2018
441635;C_7AF73AA;R;1;4;55;72.8;29.15;SD;2018
441411;C_7AF717A;R;1;6;18;73.5;28.5;SD;2018
441439;C_7AF75B2;R;1;3;18;85.4;29.3;SD;2018
442199;C_7BA273D;F;1;3;46;81;29.39;SD;2018
442157;C_7BA2D21;R;1;5;35;76.7;29.58;SD;2018
441597;C_7BA2D95;R;1;4;21;72.8;28.75;SD;2018
449774;C_7C12217;R;1;5;40;75.75;29.99;SD;2019
449827;C_7BA2DEC;F;0;4;18;76.97;30.96;SD;2019
450118;C_7C29FE1;F;1;4;28;74.2;29.35;SD;2019
450125;C_7C2A48C;R;1;4;28;57.89;30.38;SD;2019
450171;C_7C2A4BA;F;0;3;45;67.44;28.91;SD;2019
450428;C_7C11F6A;F;1;3;67;52.2;28.09;SD;2019
