ring;chip_code;capture_year;status;status_cat;cert;brood_size;run_day_eclosion;weight_n;tarsus_n;observer_n;observer_n2;weight_a;wing_a;tarsus_a;beak;feather_length;spottiness;observer_a;observer_a2;time_capture;capture_date
389006;C_6E6BD6E;2013;F;0;0;3;16;77.1;31.38;JM;JM;91.65;133.5;31.14;21.82;20.9;4;JM;JM;12;-3
389361;C_6E6BE7C;2013;F;0;0;2;19;87.45;31.05;JM;OM;87.85;131.5;31.11;22.41;21.7;7;JM;JM;10;-4
389294;C_6E6ACE3;2013;R;1;1;3;18;86.1;30.92;JM;OM;80.7;130;31.43;22.8;19.4;10;JM;JM;12;-9
389577;C_6E6AAB1;2013;R;1;1;2;19;79.15;30.86;DG;DG;85.1;130;30.5;21.82;22.8;10;JM;JM;10;-4
389523;C_6E6A3F2;2013;R;1;1;5;18;79;30.8;DG;DG;88.4;135;31.06;22.43;23.1;10;JM;JM;9;-24
389362;C_6E6B1A1;2013;R;1;1;3;20;77.88;30.71;JM;OM;85.4;132;30.8;21.4;21.7;4;DG;DG;10;-4
389358;C_6E69CAD;2013;R;1;1;4;19;81.43;30.7;JM;OM;85.5;133.5;30.8;23.68;18.7;10;JM;JM;10;-32
389496;C_6E6C2D4;2013;F;0;0;5;18;73.8;30.5;DG;DG;82.2;135;31.18;23.08;21.4;9;JM;JM;11;-34
389178;C_7141B17;2013;F;0;0;4;28;78.25;30.47;IR;PSS;90.15;135;31.3;22.48;19.7;10;JM;JM;9;-3
389129;C_6E6CFE7;2013;R;1;1;4;25;84.23;30.01;IR;PSS;84.75;132;30.05;22.59;20.1;3;JM;JM;10;-6
389053;C_6E69BDC;2013;R;1;1;4;18;83.85;29.93;JM;JM;91.7;131;30.1;22;20.7;10;JM;JM;10;-11
389623;C_6E6BAA2;2013;F;0;1;3;29;75.05;29.86;IR;PSS;80.65;132;30.25;21.96;19.5;10;JM;JM;8;-21
389468;C_6E6B88E;2013;R;1;1;5;18;78.7;29.7;DG;DG;85.6;134;29.76;22.87;23.7;8;JM;JM;11;-20
389790;C_6E69B4C;2013;F;0;1;5;32;64.95;29.66;IR;PSS;80.7;133.5;30.31;21.81;19.1;10;JM;JM;9;-34
389101;C_6E6B2B9;2013;F;0;0;3;23;84.2;29.62;IR;PSS;81.2;133.5;30.49;22.6;15.1;8;JM;JM;11;-37
389485;C_6E6AAC6;2013;R;1;1;4;17;77.5;29.6;DG;DG;80.2;131;29.19;22.57;18.5;10;JM;JM;10;-31
389648;C_6E69F0F;2013;R;1;1;3;44;77.4;29.46;IR;PSS;84.9;134;30.19;22.48;18.5;9;JM;JM;9;-21
389338;C_6E6D5EF;2013;R;1;1;5;19;67.93;29.27;JM;OM;77.25;132.5;29.66;21.97;21.1;6;JM;JM;9;-11
389481;C_6E6C46A;2013;F;0;1;4;17;68.5;29.2;DG;DG;70.35;131.5;29.37;21.74;17.2;10;JM;JM;13;-29
389201;C_6E69D47;2013;R;1;1;3;17;65.21;29.16;JM;OM;73.85;128.5;29.67;21.63;21.8;10;JM;JM;10;-27
389241;C_6E6C1BF;2013;R;1;1;4;17;75.44;28.9;JM;OM;75.7;130;28.85;21.12;18.5;5;JM;JM;11;-18
389749;C_6E6BA1B;2013;F;0;0;3;31;66.8;28.63;IR;PSS;76.85;127;29.07;21.16;20.7;10;JM;JM;10;-12
389145;C_6E6C988;2013;F;0;0;5;26;67.47;28.55;IR;PSS;76;128;29.5;21.3;18.2;10;DG;DG;8;-21
402236;C_6E6AF0C;2014;R;1;1;5;17;74;30.2;DG;DG;78.55;130.5;30.04;23.67;19.24333333;9;JM;JM;10;-24
402442;C_6E6D319;2014;F;0;0;6;33;84;30.5;DG;DG;79.9;130;30.5;22.29;19.67333333;10;JM;JM;13;-26
402527;C_6E6C0A9;2014;R;1;1;5;34;86;29.6;DG;DG;78.1;127.5;29.84;21.74;18.93333333;8;JM;JM;9;-20
402478;C_6E69E4B;2014;F;0;0;5;32;80.3;30.4;DG;DG;79.75;132;31.12;23.26;20.75666667;10;JM;JM;9;-26
401712;C_6E6AACD;2014;R;1;1;4;18;73.95;29.35;JM;JM;74.8;130;29.2;21.7;20.78333333;10;DG;DG;9;-15
401936;C_6E6D4CA;2014;F;0;1;3;54;75;30.4;RM;RM;82.05;129;30.8;21.05;17.74333333;10;JM;JM;9;-24
401938;C_6E6CF17;2014;F;0;0;3;54;79;30.8;RM;RM;79.7;128;30.3;20.82;19.33;6;JM;JM;10;-9
402321;C_6E6A73B;2014;F;0;0;5;18;75;30.3;LP;LP;80.4;132.5;29.72;21.74;20.97;9;JM;JM;12;-31
401990;C_6E6CE3C;2014;F;0;1;3;62;58.7;29.3;LP;LP;74.95;132;29.3;21.8;20.86333333;10;DG;DG;13;-24
401805;C_6E6AE85;2014;R;1;1;5;46;78.2;30.02;JM;JM;85.4;131.5;30.08;22.08;21.60666667;10;JM;JM;9;-15
402558;C_6E6CEAA;2014;F;0;0;6;42;80;30.92;JM;jm;78.6;129;30.6;22.45;20;10;JM;JM;8;-10
401683;C_6E6B90D;2014;R;1;1;4;18;77.8;30.23;JM;JM;78.05;131;30.18;22.75;21.15333333;10;JM;JM;10;-26
401811;C_6E6BD63;2014;R;1;1;3;55;71.95;30.46;JM;JM;80.6;134;30.46;22.5;17.74;10;JM;JM;11;-23
402529;C_6E6C24B;2014;F;0;0;5;35;67;28.2;RM;RM;74.05;129.5;29.5;22.11;19.42666667;9;JM;JM;11;-24
401666;C_6E6D1F3;2014;R;1;1;4;19;64.85;29.66;JM;JM;74.1;130;29.43;22.47;18.24666667;7;JM;JM;10;-12
401922;C_6E69FD4;2014;R;1;1;4;52;62;29.4;RM;RM;76.7;129;29.99;23.13;19.10333333;10;JM;JM;11;-32
400034;C_6E69B8D;2014;F;0;0;4;18;76.15;30.66;JM;JM;78.9;128.5;30.37;21.29;22.79;7;JM;JM;11;-20
402071;C_6E6BF12;2014;R;1;1;3;18;83;30.6;LP;LP;78.75;125.5;30.23;22.69;20.10333333;10;JM;JM;11;-26
402473;C_6E69BDE;2014;R;1;1;2;32;80.9;31;DG;DG;78.5;129;30.71;22.82;19.94666667;10;JM;JM;10;-24
402653;C_6E6A943;2014;F;0;0;2;66;67;29.3;DG;DG;70;131.5;30.1;21.84;19.58333333;10;JM;JM;9;-12
402111;C_6E6B44B;2014;R;1;1;3;18;69;28.5;LP;LP;76.65;129;28.79;21.93;20.08666667;10;JM;JM;10;-12
9131;C_6E6BB12;2015;R;1;1;5;20;60.7;30.78;JM;JM;83.55;132;30.7;20.8;23.68;5;RM;RM;8;-10
256871;C_6E6C35E;2015;R;1;1;4;55;78;31.01;JM;JM;83.6;130;30.65;21.79;17.35333333;9;LP;LP;12;-22
402804;C_6E69F71;2015;F;0;1;5;21;75.3;30.7;DG;DG;68.35;132;30.55;21.24;21.02;6;LP;LP;11;-31
395390;C_6E6A18A;2015;F;0;1;4;66;61.5;30.91;JM;JM;77.45;130;30.13;22.1;17.69;10;LP;LP;9;-31
242081;C_6E69C71;2015;F;0;1;5;20;80.7;29.5;DG;DG;71.15;132;29.56;21.57;20.90333333;10;LP;LP;10;-32
395697;C_6E6ADFB;2015;F;0;1;4;35;86.3;31.11;JM;JM;80.9;129;30.3;20.9;21.40666667;10;DG;DG;9;-34
395557;C_6E6A83C;2015;R;1;1;4;66;78;30.5;DG;DG;77.85;135;30.41;21.36;21.68666667;9;LP;LP;10;-21
242090;C_6E6C97B;2015;F;0;1;5;20;74;28.8;DG;DG;79.2;131;28.59;21.72;20.55;10;LP;LP;9;-29
395522;C_6E6AA4B;2015;R;1;1;4;65;76;30.7;DG;DG;82.85;133;30.97;22.4;20.26333333;10;LP;LP;10;-22
402820;C_6E6BAA3;2015;R;1;1;4;21;72.4;28.4;DG;DG;73.75;130;28.23;21.34;20.27333333;7;LP;LP;11;-28
153934;C_6E6C903;2015;F;0;1;4;20;80.7;29.8;DG;DG;81.6;133;29.87;20.3;23.4;10;RM;RM;11;-7
153936;C_6E6A7B8;2015;F;0;1;4;20;83.6;30.2;DG;DG;89.3;134;29.9;21.8;22.10666667;4;DG;DG;8;-7
375829;C_6E6D061;2015;R;1;1;5;19;78.75;30.55;JM;JM;82.8;132;30.1;21.16;19.18;6;DG;DG;8;-24
375830;C_6E6B5DA;2015;R;1;1;4;19;82.1;30.82;JM;JM;71.05;131;30.21;21.65;20.88333333;5;LP;LP;10;-32
333461;C_6E6BB39;2015;F;0;0;4;47;80.5;30.12;JM;JM;85.3;131;29.8;20.69;21.16333333;10;RM;RM;11;-2
397438;C_6E6C333;2015;R;1;1;5;40;78.75;31.61;JM;JM;82.6;129;30.7;21.6;19.36;7;DG;DG;10;-11
395164;C_6E6A0B1;2015;R;1;1;4;66;77.65;29.87;RM;RM;85.4;131;30.34;22.01;24.42666667;10;LP;LP;9;-26
395616;C_6E6B017;2015;R;1;1;4;30;80.95;29.34;JM;JM;76.1;130;28.8;22.5;19.82333333;10;DG;DG;8;-34
395266;C_6E6A895;2015;R;1;1;4;67;65.75;28.66;RM;RM;73.85;130;28.8;21.6;18.87666667;8;DG;DG;9;-6
397436;C_6E6C782;2015;F;0;1;5;39;65.3;29.4;RM;RM;79.8;135;29.75;19.82;23.85;9;RM;RM;9;-5
317618;C_6E6A33B;2015;R;1;1;5;20;74.6;29.82;JM;JM;79.1;135;28.81;20.65;21.59666667;7;LP;LP;11;-21
395484;C_6E6A180;2015;R;1;1;3;24;83.75;31.73;JM;JM;84.35;132;31.56;21.25;22.29666667;8;LP;LP;10;-16
395633;C_6E6D125;2015;R;1;1;6;31;74.2;30.04;JM;JM;87.65;134;30.2;20.4;24.78;6;RM;RM;10;-3
256872;C_6E6CBE7;2015;R;1;1;4;57;77.55;29.91;JM;JM;73.8;131;29.2;21.19;22.86666667;6;DG;DG;10;-24
395581;C_6E69DF5;2015;F;0;1;4;67;73.5;30.1;DG;DG;77.35;131;30.5;21.48;19.48;7;LP;LP;11;-32
397413;C_6E6C2CE;2015;R;1;1;4;37;84.35;31.66;JM;JM;84.2;134;31.58;20.79;22.9;6;LP;LP;9;-22
410129;C_7949197;2016;F;0;0;4;18;74;29.8;RM;RM;82.85;133;29.7;20.3;19.7;8;RM;RM;11;-11
410139;C_794A036;2016;R;1;1;3;18;73;30.7;RM;RM;83.6;133;31.3;20.6;21.39;6;RM;RM;13;-9
410240;C_794AB0D;2016;F;0;0;4;19;83;30.8;RM;RM;81.8;134;30.8;22.9;24.54;8;RM;RM;13;-22
410256;C_794ADF0;2016;F;0;0;3;20;76.1;30.2;HB;HB;77.65;136;30.7;20.9;37.92;5;RM;RM;12;-40
410327;C_79478BA;2016;R;1;1;3;17;86.3;30.9;DG;DG;92.5;134;30.45;20.93;21.63;3;DG;LM;10;8
410356;C_7A6EDE1;2016;F;0;0;5;17;79.5;29.7;DG;DG;89.2;134;29.7;20.96;26.41;10;RM;RM;11;-22
410432;C_794A8EF;2016;R;1;0;4;18;75.7;30;DG;DG;76.1;135;30.16;20.9;24.19;5;RM;RM;11;-31
410474;C_6E6D424;2016;F;0;1;5;18;75.9;29;DG;DG;74.2;130;28.5;21.1;21.58;7;DG;DG;12;-34
410493;C_7945A63;2016;F;0;0;5;19;79.8;31.1;DG;DG;87;132;31.2;22;20.73;5;DG;DG;10;11
410506;C_794637F;2016;R;1;1;4;23;76;29.5;RM;RM;90;139;29.8;21.1;22.39;5;DG;DG;9;13
410573;C_79478BD;2016;F;0;0;4;20;72;28.6;DG;DG;76.7;131;28.9;20.7;22.98;10;DG;DG;11;-15
410643;C_7944AA5;2016;R;1;1;3;18;88;29.8;HB;HB;83.1;132;29.7;21.8;21.7;9;DG;DG;10;-31
410656;C_79484D3;2016;F;0;0;4;18;75.3;29.8;HB;HB;80.3;134;30.1;21.6;18.41;7;RM;RM;11;-25
410689;C_7947D02;2016;R;1;1;4;19;79;30.4;HB;HB;81.4;134;30.3;21.5;23.8;6;DG;DG;12;-34
410728;C_79460C8;2016;F;0;0;3;19;82.8;30;HB;HB;81.8;134;30.5;20.5;20.37;7;RM;RM;11;-22
410787;C_7946B1B;2016;R;1;1;4;30;67;29.8;HB;HB;80.3;128;30;21.7;23.68;6;DG;DG;9;10
410806;C_794487C;2016;F;0;1;5;36;80;30.3;RM;RM;77.4;133;30.4;21.6;20.06;10;RM;RM;12;-22
410811;C_7944A46;2016;F;0;0;2;37;74.6;29.2;DG;DG;78.5;131;28.3;21.8;20.87;8;DG;DG;13;-36
410815;C_6E6AA2B;2016;F;0;0;4;37;65.7;27.8;DG;DG;91.45;134;28.16;22.81;21.55;5;DG;LM;9;10
410872;C_7945D8B;2016;F;0;1;5;43;79.5;28.8;HB;HB;86;127;28.5;21.4;37.22;6;DG;DG;8;11
411039;C_7948362;2016;F;0;0;4;61;78;29.6;RM;RM;78.5;130;29.5;20.1;21.77;6;DG;DG;13;12
411119;C_7945632;2016;F;0;1;3;62;78.3;30.4;HB;HB;85.2;125;30.5;20.3;18.91;5;DG;DG;9;12
411217;C_7944F9B;2016;F;0;0;5;63;70.6;29.5;HB;HB;75;131;29.57;19.6;17.34;10;RM;RM;11;-12
411487;C_79452CE;2016;R;1;1;2;72;80;29.9;RM;RM;79.5;130;29.4;21.4;21.21;10;DG;DG;9;-39
411651;C_7A73FCC;2017;F;0;0;4;19;82;30.6;RM;RM;78.1;132;30.6;22;22.26;5;JM;JM;8;-19
411722;C_7A6F9DF;2017;F;0;0;3;23;91.7;31.6;RM;RM;82.3;130;30.4;23;21.60333333;6;DG;DG;11;-7
411731;C_7A6F142;2017;F;0;1;4;23;85.9;28.6;RM;RM;77.3;128;29.8;21.4;23.00333333;5;DG;DG;9;-15
411861;C_7A73B2E;2017;F;0;0;4;23;78.9;30.3;RM;RM;78;133;30.11;21.52;21.36333333;10;JM;JM;11;-33
411966;C_7A707D9;2017;F;0;1;5;25;76.2;30.3;RM;RM;79.1;130;30.5;22.1;22.78333333;7;JM;JM;8;-27
411983;C_7A6F968;2017;F;0;0;4;25;84.7;30.3;RM;RM;83.7;126.5;30;21.98;21.43333333;6;JM;JM;12;-5
423737;C_7A74A9D;2017;F;0;0;4;69;66.8;30.2;RM;RM;76.1;130;30.74;21.8;17.88333333;10;JM;JM;10;-10
423974;C_7A7043F;2017;F;0;0;3;72;54;29.5;DG;DG;75.4;132.5;29.64;21.9;19.865;10;JM;JM;10;-17
424001;C_7A73E6B;2017;F;0;1;4;72;58.6;28.3;HB;HB;69.2;126;28.5;22.7;20.75;10;DG;DG;9;-19
424010;C_7A74879;2017;F;0;1;3;73;67;29.2;DG;DG;79.6;134;30.5;21.1;24.55;10;RM;RM;9;-38
424343;C_7A74519;2017;F;0;0;4;22;80.6;29;IR;LM;79.9;129;29.65;22.5;22.47666667;7;JM;JM;9;-19
424360;C_7A6ED52;2017;F;0;1;5;22;77.4;29.7;IR;LM;80.1;128;29.87;21.95;19.68;7;JM;JM;10;-5
424410;C_7A74BA1;2017;F;0;1;4;23;81.1;28.4;IR;LM;80;129;29;22.7;22.31333333;6;DG;DG;10;-31
424440;C_7A72E13;2017;F;0;0;5;23;82;30.7;DG;DG;78;129.5;30.39;23.21;19.27666667;5;JM;JM;12;-39
424542;C_7A6EC1F;2017;R;1;1;4;24;91.7;30.2;IR;LM;84.1;137;30.4;21.6;22.93666667;8;RM;RM;10;-31
424623;C_7A72165;2017;F;0;0;4;24;83;29.4;DG;DG;78.4;131;29.64;22.34;20.22666667;9;JM;JM;10;-13
424644;C_7A6E9C7;2017;F;0;0;2;25;71;29.5;DG;DG;69.4;129.5;29.29;23.12;21.33333333;8;JM;JM;11;-41
424646;C_7A74ABA;2017;F;0;1;5;25;74;30.2;DG;DG;74.4;130.5;29.87;21.95;19.88666667;8;JM;JM;10;-38
424713;C_7A6FD1A;2017;F;0;0;3;27;78;28.6;IR;LM;80.8;132;30.7;19.9;19.95;10;RM;RM;12;-37
424744;C_7A710E2;2017;F;0;1;4;51;65.4;30;DG;DG;79.7;133;29.7;20.6;21.34333333;10;RM;RM;11;-8
