ring;chip_code;capture_year;status;status_cat;cert;brood_size;run_day_eclosion;weight_n;tarsus_n;observer_n;observer_n2;weight_a;wing_a;tarsus_a;beak;feather_length;spottiness;observer_a;observer_a2;time_capture;capture_date
424749;C_7A72B50;2017;R;1;1;3;51;76.2;30;DG;DG;81.5;132;29.3;22.9;23.39333333;7;DG;DG;11;-36
424784;C_7A70648;2017;F;0;1;4;64;74.5;28.7;HB;HB;74;135;28.8;21.9;16.015;10;RM;RM;11;-30
433124;C_7828E38;2018;F;0;0;4;22;85;29.6;DG;DG;84.1;132;30.28;21.49;24.92666667;7;SD;SD;11;-8
425083;C_7884A9D;2018;R;1;1;5;19;78.1;31.3;HB;HB;86.3;130;31.26;21.27;19.52333333;10;SD;SD;10;-28
425226;C_795623D;2018;R;1;1;5;21;78.5;28.9;DG;DG;79.5;127;29.4;22.3;20.51;7;DG;DG;11;-47
425251;C_7955FD1;2018;R;1;1;5;21;79.4;30.9;DG;DG;79;129.5;30.62;23.33;21.51;6;JM;JM;10;-41
425074;C_795650E;2018;F;0;0;2;19;79.7;29.6;RM;RM;76.2;129.5;29.77;21.55;20.19;5;JM;JM;8;-25
425088;C_7956696;2018;F;0;1;5;19;81.4;30;HB;HB;75;132;30.14;21.79;20.12;7;LP;LP;12;-27
425084;C_79566B5;2018;R;1;1;4;19;81.15;30;HB;HB;86;131;30.2;22.38;21.09666667;5;DG;DG;11;14
433570;C_7AF6946;2018;F;0;0;3;65;75.2;30.8;DG;DG;84.4;128;31.6;21.7;19.82666667;7;LP;LP;9;-19
433014;C_7AF6994;2018;R;1;1;4;22;80.8;30.5;RM;RM;84.4;132;29.41;22.49;19.63333333;5;SD;SD;10;-20
433259;C_7AF6997;2018;R;1;1;4;22;78;29;HB;HB;77.5;132;29.3;23.1;20.2;6;DG;DG;9;-42
433759;C_7AF69C6;2018;F;0;0;3;68;52.1;27.7;DG;DG;71.9;131.5;28.06;21.23;20.11666667;10;JM;JM;12;-28
433119;C_7AF69E4;2018;R;1;1;4;22;83;30.6;DG;DG;81.4;134;31.27;22.42;22.52;7;LP;LP;12;-27
433400;C_7AF69F8;2018;F;0;0;4;34;80.95;30.1;HB;HB;80.5;132;30.22;22.52;20.72666667;9;LP;LP;11;-29
433099;C_7AF6A0C;2018;R;1;1;3;31;43.65;26.8;HB;HB;86.2;131;27.8;19.94;20.45666667;4;DG;DG;10;-1
433306;C_7AF6A9E;2018;F;0;1;5;21;78;30.4;HB;HB;79;133;30.48;22.21;18.38333333;5;SD;SD;8;-26
433204;C_7AF6BFD;2018;F;0;1;5;22;79.1;30.3;HB;HB;88.9;132;30.4;21;18.55333333;4;DG;DG;11;18
425104;C_7AF6C3A;2018;F;0;0;4;20;83.6;30.9;RM;RM;84.1;127;30.24;21.41;21.09666667;8;LP;LP;10;-28
433553;C_7AF6C91;2018;R;1;1;4;63;57.15;29.2;HB;HB;78.1;131;29.51;21.89;19.48;8;LP;LP;10;-29
433760;C_7AF6CAD;2018;F;0;0;3;68;60.5;29;DG;DG;80.7;132;29.4;22.03;23.92333333;7;DG;DG;8;-25
433182;C_7AF6D03;2018;R;1;1;5;23;81.7;30.5;DG;DG;80.4;131;30.4;24.1;21.41333333;10;DG;DG;12;-47
425292;C_7BA2A50;2018;R;1;1;4;21;84.6;31;RM;RM;90;138;30.4;21.4;24.54666667;7;RM;RM;9;-4
433238;C_7AF6D1C;2018;R;1;1;5;22;78.8;29;HB;HB;76.6;132.5;29.1;20.43;22.1;0;JM;JM;12;-28
433455;C_7AF6D47;2018;F;0;0;5;37;64.65;27;HB;HB;80.5;132;26.6;22.9;18.06666667;5;SD;SD;9;-42
433227;C_7AF6D5E;2018;F;0;0;4;22;88.7;31;HB;HB;84.7;135;30.87;20.74;22.5;7;SD;SD;10;-6
433164;C_7AF6DB8;2018;R;1;1;6;21;79.3;29.8;RM;RM;80.7;133.5;29.43;21.9;22.78666667;9;JM;JM;10;-29
433064;C_7AF6E49;2018;F;0;1;3;25;74.2;30.05;RM;RM;81.3;133;29.79;22.01;22.03;8;LP;LP;10;-28
433265;C_7AF6F18;2018;F;0;0;4;22;82;30.2;HB;HB;79.7;131;29.95;22.8;22.97666667;6;DG;DG;11;-47
433384;C_7AF6FC9;2018;R;1;1;5;33;75.8;29.7;HB;HB;78.1;128.5;30.71;22.76;18.89;9;JM;JM;11;-35
433082;C_7AF6FF1;2018;F;0;1;5;31;72.05;29.7;HB;HB;89;133;30.1;22.8;28.51333333;4;DG;DG;12;1
433072;C_7AF7038;2018;F;0;1;3;29;74;29.1;HB;HB;78.1;130;30.09;21.26;20.14333333;4;SD;SD;10;-6
433666;C_7AF7097;2018;F;0;0;3;67;70;29.1;HB;HB;79.3;128;29.3;21.7;21.64;8;DG;DG;11;-35
433318;C_7AF70A3;2018;F;0;1;4;23;90.8;29.7;HB;HB;87;134;30;20.6;22.48;3;DG;DG;9;-4
433392;C_7AF70DE;2018;F;0;0;3;33;81.05;29.3;HB;HB;79.3;133;29.84;22.33;18.07;10;SD;SD;12;-31
441838;C_79523E0;2019;F;0;0;3;19;68.8;30.02;LP;LP;76.1;130;30;21.8;20.87333333;5;DG;DG;9;-25
442103;C_79521F0;2019;F;0;0;3;20;87.2;29.3;DG;DG;83.1;136;29.86;22.34;23.14;9;SD;SD;11;-43
441276;C_79522CF;2019;F;0;0;2;18;83.4;30;DG;DG;82.2;132;29.4;21.9;22.77333333;6;DG;DG;11;-38
441365;C_7AF7505;2019;F;0;0;4;19;70.5;29.3;DG;DG;75.1;136;29.27;21.99;20.99666667;7;LP;LP;9;-18
441245;C_7BA26CD;2019;F;0;1;2;18;81;30;DG;DG;75.8;131;29.36;23.13;20.26666667;9;JM;JM;12;-35
441275;C_7BA2B87;2019;R;1;1;2;18;84.5;29.5;DG;DG;80.1;132;29.64;21.67;21.06;10;LP;LP;10;-35
441388;C_7BA2BB8;2019;R;1;1;4;20;77.8;30.1;DG;DG;80.9;136;30.2;22.2;22.34666667;6;DG;DG;11;-40
442226;C_7AF7254;2019;R;1;1;3;20;79.2;30.05;JM;JM;77.8;127;29.71;21.81;18.64;5;SD;SD;11;-38
441466;C_7BA281F;2019;R;1;1;4;19;74.6;30.7;JM;JM;77;128;30.4;21.9;18.11;7;DG;DG;12;-42
442248;C_7AF7532;2019;R;1;1;4;20;52.3;28.19;JM;JM;70.6;131;28.26;21.57;22.23666667;10;SD;SD;11;-40
441474;C_7AF7551;2019;R;1;1;6;19;67;28.73;JM;JM;75.6;126;28.8;22.3;19.40333333;2;DG;DG;11;-38
442297;C_7BA2611;2019;F;0;0;4;33;79.9;31.44;JM;JM;77.6;139;31.32;21.93;21.17;7;SD;SD;10;-40
442243;C_7BA26C3;2019;R;1;1;4;20;82.2;29.36;JM;JM;78.9;130;29.49;21.51;18.27333333;7;LP;LP;10;-24
442201;C_7BA26D3;2019;R;1;1;4;20;80.5;30.36;JM;JM;77.6;131;29.9;21.1;22.69666667;10;DG;DG;8;-38
441452;C_7BA29F3;2019;R;1;1;5;19;78.8;29.6;JM;JM;80.5;131;29.23;21.48;20.42333333;8;LP;LP;11;-7
441553;C_7BA2CE7;2019;R;1;1;4;19;78;30.31;JM;JM;81.1;132;30.31;22.65;16.80666667;3;LP;LP;11;-21
441915;C_7952481;2019;R;1;1;4;19;81.9;31.2;LP;LP;81.8;131;31.2;21.9;20.17333333;5;DG;DG;8;-40
441924;C_7AF7239;2019;F;0;0;5;19;81.1;29.97;LP;LP;76.9;132;29.45;21.65;16.95333333;10;SD;SD;12;-38
441816;C_7AF7564;2019;F;0;0;4;19;85.4;29.6;LP;LP;85.8;136;29.64;21.88;24.35;10;SD;SD;10;-3
441868;C_7BA2612;2019;R;1;1;3;18;73;29.1;LP;LP;75.2;131;29.5;21.6;22.52333333;4;DG;DG;9;-34
441832;C_7BA27DE;2019;F;0;0;3;19;78.1;31.08;LP;LP;80.7;133;31.8;24.05;19.57666667;9;SD;SD;9;-40
441833;C_7BA2843;2019;R;1;1;5;19;80.1;30.37;LP;LP;77.5;130;30.13;22.5;16.5;3;LP;LP;11;-25
441904;C_7BA2934;2019;R;1;1;3;19;84.2;30.29;LP;LP;82.2;133;31.3;20.8;20.69333333;10;DG;DG;11;-48
441813;C_7BA29F5;2019;F;0;0;3;18;79.6;30.13;LP;LP;81.3;132;30.27;21.73;16.84666667;8;LP;LP;12;-35
441761;C_7BA2635;2019;R;1;1;4;63;70.5;30.3;RM;RM;75.4;132;30.6;22.1;20.24;10;DG;DG;11;-49
441728;C_7AF7516;2019;F;0;1;2;61;74.7;29.4;RM;RM;74.4;131;29.2;21.2;19.33;6;DG;DG;9;-49
442131;C_7952276;2019;F;0;0;4;34;81;29.74;SD;SD;80;131;30.4;21.8;22.15;8;DG;DG;10;-47
441686;C_79524AE;2019;F;0;0;3;61;76.8;30.56;SD;SD;82.5;137;31.09;22.46;21.95333333;10;SD;SD;11;-49
441403;C_7AF7124;2019;R;1;1;3;18;70.2;28.25;SD;SD;75;133;29.13;20.4;22.33333333;5;DG;DG;10;-38
442569;C_7AF715F;2019;F;0;1;2;75;79.4;30.05;SD;SD;78.2;127;30.8;22;20.02333333;9;DG;DG;12;-41
441687;C_7AF7323;2019;R;1;1;3;61;75.2;30.1;SD;SD;78.7;132;29.73;22.23;19.95666667;10;SD;SD;9;-32
441635;C_7AF73AA;2019;R;1;1;4;55;72.8;29.15;SD;SD;75.1;133;29.52;20.66;19.09;10;SD;SD;12;-29
441411;C_7AF717A;2019;R;1;1;6;18;73.5;28.5;SD;SD;79.7;128;29.1;20.5;20.33;7;DG;DG;9;-45
441439;C_7AF75B2;2019;R;1;1;3;18;85.4;29.3;SD;SD;78.5;133;30.18;21.96;20.60333333;8;SD;SD;12;-36
442199;C_7BA273D;2019;F;0;1;3;46;81;29.39;SD;SD;79.1;128;30.8;21.04;20.68333333;9;DG;DG;9;-25
442157;C_7BA2D21;2019;R;1;1;5;35;76.7;29.58;SD;SD;79;130;30.08;20.04;18.52;8;LP;LP;11;-21
441597;C_7BA2D95;2019;R;1;1;4;21;72.8;28.75;SD;SD;74.8;130;29.4;22.9;21.99;3;DG;DG;12;-41
435189;C_7C29E75;2020;F;0;1;4;19;74.76;30.38;LP;LP;80.2;137;29.78;22.82;23.07666667;7;SD;SD;10;-34
435245;C_7AF730A;2020;R;1;1;4;18;82.8;29.9;RM;RM;77.8;133;30.6;21.17;19.28333333;5;LP;LP;10;-20
435256;C_7952367;2020;F;0;1;4;17;78;30;RM;RM;83.5;133;30.51;22.3;19.47;7;LP;LP;11;-9
442443;C_7C12030;2020;F;0;1;5;20;70.08;28.81;LP;LP;76.5;129;29.37;22.36;21.10666667;8;DG;DG;10;9
442488;C_7AF7499;2020;R;1;1;5;20;75.95;30.04;LP;LP;80.1;133;29.75;21.33;21.17;10;LP;LP;10;-24
442632;C_7BA2AFA;2020;F;0;1;5;21;80.58;30.09;LP;LP;92.2;132;30.25;22.01;20.58333333;6;LP;LP;10;-1
442652;C_7C1227E;2020;R;1;1;5;21;71.97;29.71;LP;LP;76.4;127;30.04;21.44;20.55333333;6;LP;LP;10;-34
442653;C_7C126F9;2020;F;0;0;5;21;63.13;29.11;LP;LP;74.7;129;29.6;21.5;18.55;10;LP;LP;9;-20
442677;C_7C123DB;2020;R;1;1;5;22;70.22;30.14;LP;BP;82.3;132;28.68;20.71;20.17666667;2;DG;EG;8;18
442692;C_7C12143;2020;R;1;1;6;23;78.06;29.41;LP;BP;82.2;129;29.36;21.95;21.47666667;10;LP;LP;10;-38
442700;C_7C2A109;2020;R;1;1;2;24;83.71;28.91;LP;BP;81.9;130;29.83;21.45;19.39333333;6;DG;EG;8;18
449207;C_7C29EFD;2020;R;1;1;5;19;76.8;29.02;DG;DG;79.4;131;28.8;21.6;22.83333333;10;DG;DG;10;-41
449212;C_7C29FF4;2020;R;1;1;5;18;86.6;30.04;DG;DG;78.8;134;29.93;22.05;20.19;10;SD;SD;11;-37
449250;C_7C29EFE;2020;F;0;0;4;20;75.7;30.3;DG;DG;81.1;131;30.9;21.2;19.57333333;7;DG;DG;9;-35
449283;C_7C29FD6;2020;F;0;1;2;21;72.8;29.3;DG;DG;83.9;126;29.58;22.4;20.62;7;DG;DG;8;7
449287;C_7C2A0AC;2020;F;0;1;4;21;78.5;30;DG;DG;88.7;132;30.03;21.61;24.58666667;6;DG;DG;10;13
449747;C_7C12097;2020;F;0;0;6;33;72.96;29;IR;IR;80.9;129;29.91;21.84;19.43;6;LP;LP;9;-9
449759;C_7C12155;2020;F;0;1;4;34;83.36;29.48;IR;IR;85.3;132;29.31;21.65;17.64;10;LP;EG;9;-19
449789;C_7C2A268;2020;R;1;1;4;51;73.5;29.91;IR;IR;76.5;134;30.09;21.65;18.54333333;10;LP;LP;12;-17
449827;C_7BA2DEC;2020;F;0;0;4;18;76.97;30.96;SD;SD;73.4;132;32.52;22;23.6;9;LP;EG;11;-37
449942;C_7BA2650;2020;F;0;0;4;20;77.1;29.8;RM;RM;90.7;132;29.44;22.29;25.70333333;5;DG;DG;11;9
449946;C_7BA293D;2020;F;0;1;5;20;76.3;30.2;RM;RM;77.8;134;30.52;21.53;22.74666667;7;SD;SD;11;-34
449974;C_7BA28F1;2020;R;1;1;5;20;75.1;29.6;RM;RM;79.6;132;29.7;21.71;21.57;6;DG;IR;9;-36
450125;C_7C2A48C;2020;R;1;1;4;28;57.89;30.38;SD;SD;75;130;30.18;21.77;22.48333333;8;DG;IR;10;-31
450171;C_7C2A4BA;2020;F;0;0;3;45;67.44;28.91;SD;SD;74.2;127;29.7;19.65;18.56;10;DG;DG;9;-33
9120;C_6E6B77E;2015;R;1;1;4;20;76.25;30.28;JM;JM;80.75;129;29.95;21.39;20.7;6;LP;LP;8;-21
111894;C_6E69AC8;2015;F;0;1;5;20;79.1;30;JM;JM;84.4;133;29.5;20.9;26.69333333;3;RM;RM;11;-3
155113;C_6E6BFF9;2015;R;1;1;4;21;79.6;31;RM;RM;77.76;130;31.49;21.16;21.62666667;10;LP;LP;11;-16
155122;C_6E6A2CB;2015;R;1;1;4;21;76.1;30.5;RM;RM;83.2;131;30.3;21.6;22.2;7;DG;DG;9;-16
155124;C_6E6B099;2015;F;0;0;6;21;73.6;29.8;RM;RM;80;128;29.4;19.7;23.18;6;RM;RM;10;-7
155158;C_6E6D057;2015;F;0;0;4;21;72.9;28.8;RM;RM;74.05;130;28.9;21.35;19.42;7;LP;LP;11;-32
155161;C_6E6C461;2015;R;1;1;5;21;81.9;29.4;RM;RM;85.45;130;30.07;22.85;20.36666667;10;LP;LP;11;-18
156319;C_6E6D5AF;2015;R;1;1;5;21;82;31.05;JM;JM;83.5;133;30.21;22.22;19.00666667;10;LP;LP;10;-31
156327;C_6E6A8C5;2015;F;0;1;3;21;78.7;30.98;JM;JM;78.6;131;30.7;21.55;20.66666667;9;DG;DG;9;-13
156328;C_6E6C576;2015;F;0;1;3;21;74.2;30.07;JM;JM;78.35;129;29.6;20.3;21.82;10;RM;RM;8;-6
156350;C_6E6C35A;2015;R;1;1;5;21;76.9;30.07;JM;JM;80.75;134;29.63;21.64;25.71666667;6;RM;RM;10;-7
375804;C_6E6D5A9;2015;F;0;1;6;19;75.65;25.85;JM;JM;79.6;131;29.3;21.4;21.19;6;DG;DG;7;-13
395022;C_6E6CEA6;2015;F;0;0;3;69;81;31.1;DG;DG;85.8;131;31.5;22.33;19.04333333;10;LP;LP;9;-18
395338;C_6E6CA77;2015;F;0;1;3;64;75.05;29.06;RM;RM;80.5;131;27.4;21.4;20.60666667;6;RM;RM;8;-5
395407;C_6E6D2BF;2015;F;0;0;5;22;81.25;29.65;JM;JM;81.2;130;29.3;20.6;22.77;7;DG;DG;9;-34
395458;C_6E6B020;2015;R;1;1;5;23;81.15;31.05;JM;JM;87;132;30.5;20.88;23.81333333;6;RM;RM;9;-10
395528;C_6E6C0AD;2015;F;0;0;3;65;72.5;30.1;DG;DG;79.25;134;30.1;21.2;25.27666667;9;RM;RM;9;-7
395654;C_6E69B0A;2015;R;1;1;2;32;78.5;29.5;JM;JM;79.75;129;29.21;22.67;18.89333333;8;LP;LP;11;-33
395677;C_6E69D3F;2015;F;0;0;4;34;76.7;27.8;RM;RM;74.2;131;28.62;20.43;21.02333333;5;LP;LP;10;-32
402861;C_6E6C989;2015;F;0;0;5;21;79.1;29.9;DG;DG;78.7;132;29.86;20.53;22.60333333;9;LP;LP;10;-33
