ring;chip_code;sex;capture_year;status;status_cat;cert;run_day_eclosion;brood_size;weight_n;tarsus_n;observer_n;weight_a;wing_a;tarsus_a;beak;feather_length;observer_a;observer_a2;time_capture;date_january;cohort
111892;C_79446F4;1;2016;R;1;1;20;5;75.7;30.44;JM;81.2;138;30.01;22.89;36;LP;LP;10;71;2014
133752;C_794AFA3;1;2016;R;1;1;21;5;81.35;30.11;JM;85.8;136;29.5;22.5;31.56;RM;RM;9;82;2014
153984;C_7949F9B;1;2016;F;0;0;21;5;78.4;30.9;DG;89.2;136;30.4;22;35.99;DG;DG;11;84;2014
155131;C_794A16D;1;2016;R;1;1;21;5;75;30.3;RM;87.6;139;31.1;21.9;36.62;RM;RM;12;76;2014
155147;C_794B1E3;1;2016;F;0;0;21;4;81.05;30.5;RM;82.85;136;30.86;22.8;33.98;LP;LP;9;75;2014
155188;C_794AE59;1;2016;R;1;1;22;5;80;30.9;DG;84.5;135;30.6;22.3;33.26;DG;DG;9;72;2014
155189;C_7948BF6;1;2016;F;0;0;22;5;77.2;30.3;DG;87.6;132;31.1;23.3;34.43;DG;DG;10;73;2014
156368;C_79452D0;1;2016;R;1;1;22;5;71.9;30.68;JM;88.1;138;30.2;21.4;34.39;RM;RM;12;97;2014
156387;C_6E6AF99;1;2016;F;0;1;22;4;85.75;31.21;JM;90.2;137;31.2;21.6;33.74;DG;DG;9;117;2014
188992;C_7947759;1;2016;F;0;1;65;4;78;29.5;DG;79.35;133;30.25;22.07;31.43;DG;DG;9;62;2014
229785;C_6E6D31C;1;2016;R;1;1;18;5;84.1;30.83;JM;87.5;136;30.5;22.35;36.07;DG;DG;12;69;2014
242064;C_794B313;1;2016;F;0;0;20;6;79.9;30.4;DG;86.7;133;30.7;22.9;35.7;DG;DG;12;92;2014
256879;C_7945231;1;2016;R;1;1;59;5;73.85;30.8;JM;84.4;132;30.7;20.5;37.82;DG;DG;12;62;2014
317621;C_79493BA;1;2016;R;1;1;20;5;75.05;29.61;JM;85.9;137;29.2;20.8;38.79;DG;DG;10;92;2014
317648;C_794A6C6;1;2016;R;1;1;21;4;77.65;29.41;JM;83.4;132;29.46;21.57;34.94;LP;LP;11;67;2014
333467;C_794858C;1;2016;R;1;1;51;4;81.55;31.79;JM;88.1;132;31.4;22.6;33.32;DG;DG;10;73;2014
375824;C_7945D84;1;2016;R;1;1;19;4;82.6;30.41;JM;88.7;135;30;21.9;36.74;DG;DG;10;119;2014
389003;C_6E6BD3C;1;2014;R;1;1;18;3;81.05;30.61;JM;86.9;136.5;31.03;22.62;37.67666667;JM;JM;10;78;2012
389024;C_6E6B124;1;2014;R;1;1;20;4;86.7;30.83;JM;90.5;134;30.86;24.61;37.84666667;JM;JM;10;99;2012
389052;C_6E6BE8A;1;2014;R;1;1;18;4;85.95;31.97;JM;92.85;137.5;31.29;23.87;35.73666667;JM;JM;9;90;2012
389075;C_6E6AC58;1;2014;F;0;1;20;3;81.5;31.05;PSS;88.4;139.5;30.91;23.04;35.18666667;JM;JM;10;99;2012
389121;C_6E6B778;1;2014;R;1;1;25;4;85.35;30.16;PSS;89.25;137.5;31.34;23.6;37.14333333;JM;JM;12;79;2012
389125;C_6E6B773;1;2014;R;1;1;25;4;82.8;31.2;PSS;85.5;135;32.02;22.59;36.35666667;JM;JM;9;78;2012
389131;C_6E6A6BD;1;2014;R;1;1;25;4;90.04;31.21;PSS;87.2;136;31.67;24.61;31.3;JM;JM;10;78;2012
389159;C_6E69F78;1;2014;F;0;0;31;4;80.45;31.92;JM;88.95;136.5;31.76;22.56;34.66666667;JM;JM;11;78;2012
389179;C_6E6BA20;1;2014;R;1;1;28;4;78.1;30.38;PSS;97;136;31.02;23.51;35.52333333;JM;JM;9;78;2012
389181;C_6E6B4A7;1;2014;F;0;1;28;4;75.08;30.19;PSS;86.4;135;31.33;23.73;33.79;JM;JM;10;87;2012
389204;C_6E6C356;1;2014;F;0;0;17;3;79.25;30.82;OM;93.6;139;30.5;21.3;34.15333333;DG;DG;8;90;2012
389213;C_6E6B444;1;2014;F;0;0;17;4;81.66;30.99;OM;87.45;135;30.75;23.53;34.78666667;JM;JM;9;90;2012
389222;C_6E6BA79;1;2014;R;1;1;17;5;77.45;29.57;OM;88;134.5;29.9;23.09;31.5;JM;JM;10;96;2012
389243;C_6E69DF8;1;2014;R;1;1;17;4;81.82;29.82;OM;84.6;134;30.54;23.41;32.19333333;JM;JM;9;65;2012
389377;C_6E6AA42;1;2014;R;1;1;20;3;81.41;30.14;OM;91.54;136.5;31.47;24.1;34.05333333;JM;JM;9;68;2012
389400;C_6E6B33A;1;2014;R;1;1;23;3;81.5;29.31;PSS;83.75;136;29.62;22.83;33.10333333;JM;JM;10;77;2012
389410;C_6E69C24;1;2014;R;1;1;16;4;76.2;29.5;DG;89.2;134.5;29.57;22.76;33.85666667;JM;JM;12;87;2012
389416;C_6E6B802;1;2014;F;0;0;16;4;70.2;29.03;DG;83.3;135;29.83;23.04;38.16;JM;JM;8;77;2012
389470;C_6E6A6BC;1;2014;F;0;0;18;5;74.5;28.9;DG;85.3;132;30.29;22.83;34.08333333;JM;JM;11;83;2012
389480;C_6E69C28;1;2014;F;0;0;17;5;81.5;30.5;DG;87.6;136;31.19;25.02;42.22666667;JM;JM;8;76;2012
389489;C_6E6A54E;1;2014;R;1;1;17;3;82;29.8;DG;90.15;137.5;30.7;23.11;36.2;JM;JM;13;83;2012
389513;C_6E69D48;1;2014;R;1;1;18;4;89.1;30.2;DG;94.4;137;30.92;23.12;41.52666667;JM;JM;11;70;2012
389516;C_6E6B910;1;2014;R;1;1;18;5;85.9;29.5;DG;91.95;138;29.39;23.18;39.34;JM;JM;10;97;2012
389609;C_7143736;1;2014;R;1;1;40;4;76.22;29.62;PSS;87.6;139.5;30;22.76;35.11666667;JM;JM;14;86;2012
389629;C_6E6B01C;1;2014;F;0;1;29;3;75.08;31.1;PSS;85.9;137;31.58;23.19;32.58666667;JM;JM;10;71;2012
389757;C_6E69D3D;1;2014;R;1;1;31;5;69.17;29.2;PSS;88.4;139;29.46;23.4;34.09;JM;JM;12;79;2012
395064;C_794475F;1;2016;R;1;1;69;5;69.45;29.99;JM;79.6;131;29.93;21.6;33.59;LP;LP;8;62;2014
395070;C_7944F18;1;2016;F;0;0;70;4;79.5;31.1;DG;90.3;137;30.5;23.5;32.5;DG;DG;10;67;2014
395072;C_794B1E9;1;2016;F;0;1;71;4;83.65;30.15;RM;90.7;135;29.8;22.3;35.62;DG;DG;10;81;2014
395142;C_7948D65;1;2016;R;1;1;66;5;72.2;29.28;RM;92.05;133.5;30.69;22.82;31.1;LP;LP;10;90;2014
395212;C_7944EAE;1;2016;R;1;1;67;5;74.6;31.88;JM;87.3;138;31.2;23.4;46.16;DG;DG;8;75;2014
395237;C_7948F88;1;2016;R;1;1;68;3;66.5;29.7;JM;84.5;133;29.4;22.3;34.15;DG;DG;13;92;2014
395270;C_6E6A2CF;1;2016;R;1;1;67;4;67.65;30.03;RM;87;134;30.1;23.4;37.26;DG;DG;10;71;2014
395307;C_7945BAF;1;2016;R;1;1;63;4;79.7;29.35;JM;85;133;28.8;22;35.85;DG;DG;10;62;2014
395309;C_794A9F4;1;2016;F;0;0;63;4;79.2;31.03;JM;87.25;139;30.77;22.47;35.02;LP;LP;9;64;2014
395408;C_794A866;1;2016;R;1;1;22;5;80.75;29.57;JM;87.2;138;28.8;22.1;38.98;DG;DG;11;72;2014
395433;C_6E6D18F;1;2016;R;1;1;22;5;80.05;31.53;JM;93.3;134;31.19;21.88;30.63;LP;LP;10;90;2014
395489;C_7949035;1;2016;R;1;1;24;3;82.4;31.23;JM;79.8;134;30.3;21.5;32.74;DG;DG;10;67;2014
395629;C_794A6C9;1;2016;R;1;1;31;6;82.9;30.79;JM;86.4;138;30.75;22.63;32.69;LP;LP;10;72;2014
395672;C_7949924;1;2016;F;0;0;34;4;88.7;30.4;RM;88.8;137;30.27;23.12;31.61;LP;LP;11;75;2014
397421;C_794902F;1;2016;F;0;0;38;5;78.2;31.16;JM;89.3;135;30.8;21.5;41.21;DG;DG;9;92;2014
397446;C_7947E6A;1;2016;R;1;1;40;5;75.2;30.63;JM;84.3;135;29.9;21.6;33.59;RM;RM;12;76;2014
400005;C_6E6A5C8;1;2015;R;1;1;16;5;80.65;30.63;JM;90.3;139;29.98;23.05;32.65333333;LP;LP;12;69;2013
400076;C_6E6B992;1;2015;R;1;1;18;4;86.4;30.73;JM;88.3;136;30.57;22.65;33.47666667;LP;LP;11;64;2013
401605;C_6E6C756;1;2015;F;0;0;20;3;74.35;29.3;JM;86;134;29.2;22.49;35.44666667;DG;DG;10;83;2013
401671;C_6E6A6BB;1;2015;F;0;1;18;4;72.45;31.65;JM;86;138;31.77;21.39;37.43333333;LP;LP;10;67;2013
401689;C_6E6BD69;1;2015;F;0;1;19;4;55.9;29.89;JM;82.9;135;30.51;21.27;33.02;LP;LP;9;74;2013
401711;C_6E6B801;1;2015;R;1;1;18;4;75.4;31.23;JM;74;138;30.5;23.38;32.24666667;LP;LP;8;65;2013
401736;C_6E6D318;1;2015;R;1;1;32;2;86.05;30.41;JM;89.8;134;30.2;21.7;35.24;DG;DG;12;62;2013
401745;C_6E6A405;1;2015;R;1;1;32;6;74.55;30.73;JM;81.15;130;30.47;21.63;34.21333333;LP;LP;9;68;2013
401758;C_6E6A0AD;1;2015;F;0;1;34;5;69;29.67;JM;79.45;134;29.65;22.48;31.85;LP;LP;9;74;2013
401766;C_6E6D05E;1;2015;R;1;1;33;2;87.65;30.51;JM;88.6;135;30.28;23.36;34.64;LP;LP;11;68;2013
401776;C_6E6C888;1;2015;R;1;1;31;5;81.95;31.25;JM;88.7;138;30.86;22.51;33.61333333;LP;LP;9;74;2013
401855;C_6E6A8C8;1;2015;F;0;1;56;2;73.45;31.46;JM;85.3;139;31.77;21.87;36.69333333;LP;LP;13;70;2013
402005;C_6E6C806;1;2015;R;1;1;16;5;71;27.9;LP;82.4;132;28.22;22.69;31.93666667;LP;LP;10;65;2013
402045;C_6E6CF1A;1;2015;F;0;1;17;3;70;30.3;DG;87.25;136;29.86;21.45;37.68333333;LP;LP;8;70;2013
402075;C_6E6B09F;1;2015;F;0;1;18;2;86;29.6;LP;86.75;133;30.12;21.6;32.93666667;LP;LP;9;75;2013
402155;C_6E6A8BD;1;2015;R;1;1;19;4;72;29.1;LP;88.7;137;28.9;23.5;39.94666667;DG;DG;12;84;2013
402156;C_6E69F76;1;2015;F;0;1;19;4;65;29.5;LP;84;135;28.8;23.1;38.6;DG;DG;10;92;2013
402160;C_6E6C4F3;1;2015;R;1;1;19;4;86;29.4;LP;96.4;134;30.05;22.55;35.18666667;LP;LP;11;63;2013
402206;C_6E6BD65;1;2015;R;1;1;18;3;67;29.2;DG;86.85;138;29.57;22;36.52333333;LP;LP;10;68;2013
402234;C_6E6D193;1;2015;R;1;1;18;2;70;30.7;LP;86.25;136;30.08;21.59;41.05333333;DG;DG;10;72;2013
402235;C_6E6A25E;1;2015;F;0;1;17;5;77;29.3;DG;83.65;135;29.52;22.61;34.2;LP;LP;10;74;2013
402260;C_6E69DEC;1;2015;R;1;1;19;2;67;29.3;DG;87.15;136;30.45;23.19;35.91666667;LP;LP;11;65;2013
402322;C_6E6D5F3;1;2015;F;0;1;18;5;73;30.8;LP;89.1;135;30.7;21.6;40.3;DG;DG;11;93;2013
402374;C_6E69A8F;1;2015;R;1;1;19;2;73;29.5;DG;87.6;138;29.1;22.94;32.58666667;DG;DG;11;83;2013
402385;C_6E6BF9F;1;2015;R;1;1;19;3;75;30.9;DG;85.95;132;30.84;22.96;39.77333333;LP;LP;12;70;2013
402419;C_6E6A9BF;1;2015;R;1;1;33;5;85;30.9;DG;89.35;138;31.43;21.75;36.78333333;LP;LP;9;68;2013
402420;C_6E6CFE8;1;2015;R;1;1;33;5;88;31;DG;93.35;137;31.01;22.14;36.26666667;LP;LP;9;80;2013
402493;C_6E6A3A1;1;2015;R;1;1;33;4;88;30.6;DG;84.2;135;30.85;22.41;34.79333333;LP;LP;13;69;2013
402512;C_6E6BBC0;1;2015;R;1;1;34;5;90;31.15;DG;91.3;131;31.1;22.9;33.22666667;DG;DG;10;72;2013
402554;C_6E6D514;1;2015;F;0;1;42;6;80;30.82;JM;87.35;136;31.34;23.07;33.34333333;LP;LP;8;75;2013
402574;C_6E6C135;1;2015;F;0;1;46;3;85;30.6;RM;95.45;139;31.03;20.58;34.72333333;RM;RM;11;85;2013
402613;C_6E6CB78;1;2015;F;0;1;59;4;77;30.1;DG;84.85;136;30.59;22.26;37.63666667;LP;LP;12;68;2013
402713;C_6E6D052;1;2015;R;1;1;66;2;74.75;31.34;JM;87.15;133;31.22;22.64;32.98333333;LP;LP;12;65;2013
402809;C_79484D5;1;2016;R;1;1;21;3;82.8;30;DG;85.2;136;30.79;21.71;29.59;LP;LP;13;75;2014
402813;C_79446C0;1;2016;F;0;0;21;3;75.4;30.3;DG;82.75;135.5;30.21;21.34;34.74;LP;LP;11;74;2014
402818;C_7949A78;1;2016;R;1;1;21;4;79.6;30.8;DG;90.7;134;30.5;24.2;39.58;DG;DG;11;67;2014
402871;C_794AB90;1;2016;R;1;1;22;4;77.3;29.6;DG;83.48;132;29.82;22.11;32.78;LP;LP;8;75;2014
402899;C_7947D09;1;2016;R;1;1;22;5;83.6;30.5;DG;87.8;135;30.3;22.3;35.64;DG;DG;8;71;2014
402956;C_6E6AA49;1;2015;R;1;1;66;4;71;32.1;DG;88.05;137;32.09;22.63;37.72;LP;LP;10;63;2013
402957;C_6E6A839;1;2015;R;1;1;66;4;78;30.3;DG;88.4;134;30.32;21.94;31.79333333;LP;LP;11;64;2013
408070;C_7946BC5;1;2016;F;0;0;21;6;81.8;29.9;RM;85.7;138;30.06;22.36;31.94;LP;LP;10;64;2014
408072;C_7945241;1;2016;R;1;1;21;5;79.5;29.2;RM;87;134;31;22.15;33.1;LP;LP;10;68;2014
410109;C_7947DBB;1;2017;R;1;1;18;4;80;29.3;RM;81.8;132;29.5;22.8;29.61333333;DG;DG;12;94;2015
410114;C_7991152;1;2017;F;0;0;18;5;77;29.4;RM;89.9;132;30.42;22;32.31;JM;JM;11;101;2015
410172;C_7A7372E;1;2017;R;1;1;18;4;81;31;RM;84.5;135;30.3;23.3;28.99333333;DG;DG;11;76;2015
410225;C_7A75438;1;2017;R;1;1;19;3;77;31.2;RM;87.7;137;31.08;23.32;35.26333333;JM;JM;11;64;2015
410247;C_7A6FCFC;1;2017;R;1;1;19;3;74.7;30.2;DG;94;138;30.4;22.3;33.41666667;DG;DG;12;98;2015
410276;C_7A745DB;1;2017;F;0;1;20;4;80.9;28.8;HB;89.6;136;29.3;22.6;37.19333333;JM;JM;10;93;2015
410282;C_7A6EB43;1;2017;F;0;0;20;4;77.2;29.6;HB;86.4;133.5;30.33;23.12;33.75333333;JM;JM;12;88;2015
410302;C_7A6F054;1;2017;R;1;1;20;4;84.9;29.5;HB;87.3;134;30.92;24.54;38.16666667;JM;JM;10;66;2015
410317;C_7A6F2D7;1;2017;F;0;0;16;5;79.2;30.6;RM;85.2;135;31.07;22.82;35.30666667;JM;JM;9;102;2015
410333;C_7A72B56;1;2017;R;1;1;17;5;72;28.9;DG;89.9;132;29.3;22.1;32.42333333;DG;DG;9;86;2015
410335;C_79454F8;1;2017;R;1;1;17;5;71.8;29.1;DG;80.7;134.5;29.77;22.33;41.77;JM;JM;12;67;2015
410346;C_7A70C93;1;2017;R;1;1;17;5;80.6;31.2;DG;84.6;133;31.4;23.4;36.365;DG;DG;10;75;2015
410389;C_7A709C7;1;2017;R;1;1;18;4;79.9;31.4;DG;89.5;132;31.79;22.51;39.55333333;JM;JM;10;96;2015
410428;C_7A70C72;1;2017;R;1;1;18;5;75.9;31.2;DG;89.2;137.5;31.42;24.2;36.65666667;JM;JM;12;73;2015
410550;C_7A71760;1;2017;F;0;0;20;5;71.4;29.6;DG;88.1;135;30.7;23.85;37.26333333;JM;JM;11;86;2015
410564;C_7A71B21;1;2017;R;1;1;20;5;75;29.7;DG;82.6;133;29.9;22.64;31.91;JM;JM;11;72;2015
410594;C_7A72C0E;1;2017;R;1;1;21;4;76.6;30.5;DG;84.7;137;30;21.1;35.09666667;RM;RM;13;68;2015
410622;C_7A70517;1;2017;F;0;0;19;5;70.2;28.2;HB;86.8;138;30.4;21.6;36.19333333;RM;RM;11;89;2015
410630;C_7A7351C;1;2017;R;1;1;18;4;81.9;30.7;HB;91.1;132;31.5;24.45;35.67333333;JM;JM;11;72;2015
410663;C_794ACFC;1;2017;R;1;1;19;6;72;29;HB;82.3;138;29.4;20.1;40.37333333;RM;RM;8;68;2015
410670;C_7A6F9F7;1;2017;F;0;0;18;4;72;28.8;HB;80.8;132;29.4;21.4;31.86333333;RM;RM;8;69;2015
410674;C_7A72EDF;1;2017;F;0;1;18;4;83.2;30.4;HB;85.8;136;30.7;20.8;33.63333333;RM;RM;10;67;2015
410723;C_794A038;1;2017;F;0;1;19;4;78.1;29.9;HB;85.5;141;30.7;22.2;32.42666667;RM;RM;9;72;2015
410727;C_7A7018C;1;2017;F;0;1;19;3;84.1;29.8;HB;86.6;136;30.3;22.2;38.29;DG;DG;10;74;2015
410789;C_7A730F7;1;2017;R;1;1;30;4;81.5;31.1;HB;88;138;31.6;20.9;32.93333333;RM;RM;11;69;2015
410919;C_7A731D7;1;2017;F;0;1;49;4;79;30.8;HB;83.9;135;31.04;25.3;37.27333333;JM;JM;9;80;2015
410937;C_7A722CE;1;2017;F;0;1;57;3;76.3;29.6;HB;85.4;133;29.82;23.47;39.10333333;JM;JM;10;99;2015
410968;C_7A7078B;1;2017;R;1;1;58;3;87.7;30.5;HB;83.3;135;31.36;22.7;38.04333333;JM;JM;11;79;2015
